index, elapsed_i, elapsed_k, elapsed_f1, elapsed_f2 [ms]
[1000.0, 1039.69, 14.735, 0.599, 0.036]
[2000.0, 1891.67, 27.305, 1.226, 0.036]
[3000.0, 2746.1, 41.032, 1.92, 0.036]
[4000.0, 4097.27, 53.78, 2.539, 0.041]
[5000.0, 4800.6, 66.35, 3.173, 0.037]
[6000.0, 5800.9, 78.956, 3.798, 0.037]
[7000.0, 7089.23, 147.856, 4.628, 0.041]
[8000.0, 5645.37, 80.043, 3.886, 0.038]
[9000.0, 4640.6, 65.951, 3.178, 0.042]
[10000.0, 3681.36, 51.562, 2.461, 0.044]
[11000.0, 2588.49, 52.573, 2.691, 0.043]
[12000.0, 1486.22, 22.176, 0.997, 0.035]
[13000.0, 555.339, 8.051, 0.294, 0.035]
